ad_id,channel,product_id,product_name,product_category,ad_first_dt,ad_last_dt,ucompany_id,campaign_objective,targeting_age,targeting_genders,os_type
15712434228,Google,com.sevenpirates.idl,銇勩亼銉硷紒鏀剧疆鎴﹀＋,,2022/1/4,2022/2/16,32227,APP_INSTALLS,24-65,male,ANDROID
15738995501,Google,tile.connect.onet.on,Tile Connect - Tile Match Game,,2022/1/1,2022/2/8,66703,APP_INSTALLS,18-65,,ANDROID
15745148062,Google,com.meet.andr,Hurrah,,2022/1/4,2022/1/4,16727,APP_INSTALLS,18-65,,ANDROID
15765688064,Google,com.firstmeetgame.sw,,,2022/1/5,2022/1/18,44850,LINK_CLICKS,18-65,male,ANDROID
15769576719,Google,com.weedcrusher.glob,Weed Crusher,,2022/1/5,2022/1/28,36254,APP_INSTALLS,18-65,,ANDROID
15784207159,Google,tile.connect.onet.on,Tile Connect - Tile Match Game,,2022/1/6,2022/2/8,66703,APP_INSTALLS,18-65,,ANDROID
15789791676,Google,com.wakapro.videocal,,,2022/1/7,2022/1/12,14353,APP_INSTALLS,18-60,male,ANDROID
15790005963,Google,com.sevenpirates.idl,,,2022/1/8,2022/1/10,32227,APP_INSTALLS,24-65,male,ANDROID
15790018251,Google,com.sevenpirates.idl,,,2022/1/8,2022/1/10,32227,APP_INSTALLS,24-65,male,ANDROID
15790018521,Google,com.sevenpirates.idl,,,2022/1/8,2022/1/10,32227,APP_INSTALLS,24-65,male,ANDROID
15790036971,Google,com.sevenpirates.idl,,,2022/1/8,2022/1/9,32227,APP_INSTALLS,24-65,male,ANDROID
15790037037,Google,com.sevenpirates.idl,,,2022/1/8,2022/1/10,32227,APP_INSTALLS,24-65,male,ANDROID
15790037223,Google,com.sevenpirates.idl,,,2022/1/8,2022/1/10,32227,APP_INSTALLS,24-65,male,ANDROID
15792304014,Google,com.wakapro.videocal,,,2022/1/8,2022/1/12,14353,APP_INSTALLS,18-60,male,ANDROID
15792538032,Google,com.wakapro.videocal,,,2022/1/8,2022/1/11,14353,APP_INSTALLS,18-60,male,ANDROID
15794148679,Google,com.sevenpirates.idl,,,2022/1/8,2022/1/10,32227,APP_INSTALLS,24-65,male,ANDROID
15794156143,Google,com.sevenpirates.idl,,,2022/1/8,2022/1/10,32227,APP_INSTALLS,24-65,male,ANDROID
15794156149,Google,com.sevenpirates.idl,,,2022/1/8,2022/1/10,32227,APP_INSTALLS,24-65,male,ANDROID
15794172844,Google,com.sevenpirates.idl,,,2022/1/8,2022/1/9,32227,APP_INSTALLS,24-65,male,ANDROID
15794431327,Google,com.yeetown.bricks.b,Bricks Breaker: Hit Ball Blast,,2022/1/7,2022/1/10,65695,APP_INSTALLS,18-65,,ANDROID
15796493191,Google,com.wakapro.videocal,,,2022/1/8,2022/1/11,14353,APP_INSTALLS,18-60,male,ANDROID
15796721014,Google,com.wakapro.videocal,,,2022/1/8,2022/1/12,14353,APP_INSTALLS,18-60,male,ANDROID
15797350712,Google,com.wakapro.videocal,,,2022/1/7,2022/1/17,14353,APP_INSTALLS,18-60,male,ANDROID
15797539103,Google,com.sevenpirates.idl,,,2022/1/8,2022/1/10,32227,APP_INSTALLS,24-65,male,ANDROID
